"dataname","Name","Competition","NumberSteps","Jump","Height cleared","Height","Cleared","Foot Plant Step 1","Foot Plant Step 2","Foot Plant Step 3","Foot Plant Step 4","Foot Plant Step 5","Foot Plant Step 6","Foot Plant Step 7","Foot Plant Step 8","Foot Plant Step 9","Foot Plant Step 10","Foot Plant Step 11","Foot Plant Take-Off","Contact Time 3rd last","Contact Time 2nd last","Contact Time last","Step Time Step 1","Step Time Step 2","Step Time Step 3","Step Time Step 4","Step Time Step 5","Step Time Step 6","Step Time Step 7","Step Time Step 8","Step Time Step 9","Step Time Step 10","Step Time Step 11","Cadencev1Avg","Cadencev1 Step 1","Cadencev1 Step 2","Cadencev1 Step 3","Cadencev1 Step 4","Cadencev1 Step 5","Cadencev1 Step 6","Cadencev1 Step 7","Cadencev1 Step 8","Cadencev1 Step 9","Cadencev1 Step 10","Cadencev1 Step 11","Cadencev2Avg","Cadencev2 Step 1","Cadencev2 Step 2","Cadencev2 Step 3","Cadencev2 Step 4","Cadencev2 Step 5","Cadencev2 Step 6","Cadencev2 Step 7","Cadencev2 Step 8","Cadencev2 Step 9","Cadencev2 Step 10","Cadencev2 Step 11"
"Oscar Miers_SydneyTrackClassic2020","Oscar Miers","SydneyTrackClassic2020",12,1,"2.07 O","2.07","Y",0,0.39,0.82,1.2,1.54,1.86,2.15,2.41,2.66,2.875,3.1,3.3,0.135,0.155,0.15,0.39,0.43,0.38,0.34,0.32,0.29,0.26,0.25,0.215,0.225,0.2,3.63636363636364,2.56410256410256,2.4390243902439,2.5,2.5974025974026,2.68817204301075,2.7906976744186,2.9045643153527,3.00751879699248,3.1304347826087,3.2258064516129,3.33333333333333,3.63636363636364,2.56410256410256,2.32558139534884,2.63157894736842,2.94117647058823,3.125,3.44827586206897,3.84615384615384,4,4.65116279069768,4.44444444444444,5.00000000000001
"Oscar Miers_SydneyTrackClassic2020","Oscar Miers","SydneyTrackClassic2020",12,2,"2.16 X","2.16","N",0,0.4,0.8,1.18,1.52,1.855,2.14,2.4,2.65,2.86,3.1,3.3,0.145,0.16,0.165,0.4,0.4,0.38,0.34,0.335,0.285,0.26,0.25,0.21,0.24,0.2,3.63636363636364,2.5,2.5,2.54237288135593,2.63157894736842,2.69541778975741,2.80373831775701,2.91666666666667,3.0188679245283,3.14685314685315,3.2258064516129,3.33333333333333,3.63636363636364,2.5,2.5,2.63157894736842,2.94117647058823,2.98507462686567,3.50877192982456,3.84615384615385,4,4.76190476190476,4.16666666666666,5.00000000000001
"Oscar Miers_SydneyTrackClassic2020","Oscar Miers","SydneyTrackClassic2020",12,3,"2.16 XO","2.16","Y",0,0.4,0.8,1.18,1.51,1.83,2.11,2.37,2.6,2.83,3.06,3.265,0.15,0.17,0.145,0.4,0.4,0.38,0.33,0.32,0.28,0.26,0.23,0.23,0.23,0.205,3.67534456355283,2.5,2.5,2.54237288135593,2.64900662251656,2.73224043715847,2.8436018957346,2.9535864978903,3.07692307692308,3.18021201413428,3.26797385620915,3.36906584992343,3.67534456355283,2.5,2.5,2.63157894736842,3.03030303030303,3.125,3.57142857142857,3.84615384615384,4.34782608695652,4.34782608695652,4.34782608695652,4.8780487804878
"Oscar Miers_SydneyTrackClassic2020","Oscar Miers","SydneyTrackClassic2020",12,4,"2.20 X","2.2","N",0,0.4,0.78,1.17,1.51,1.83,2.11,2.375,2.62,2.85,3.08,3.275,0.14,0.16,0.155,0.4,0.38,0.39,0.34,0.32,0.28,0.265,0.245,0.23,0.23,0.195,3.66412213740458,2.5,2.56410256410256,2.56410256410256,2.64900662251656,2.73224043715847,2.8436018957346,2.94736842105263,3.05343511450382,3.15789473684211,3.24675324675325,3.3587786259542,3.66412213740458,2.5,2.63157894736842,2.56410256410256,2.94117647058823,3.125,3.57142857142857,3.77358490566038,4.08163265306122,4.34782608695652,4.34782608695652,5.12820512820513
"Oscar Miers_SydneyTrackClassic2020","Oscar Miers","SydneyTrackClassic2020",12,5,"2.20 XX","2.2","N",0,0.39,0.785,1.15,1.47,1.8,2.075,2.34,2.58,2.81,3.05,3.25,0.145,0.16,0.16,0.39,0.395,0.365,0.32,0.33,0.275,0.265,0.24,0.23,0.24,0.2,3.69230769230769,2.56410256410256,2.54777070063694,2.60869565217391,2.72108843537415,2.77777777777778,2.89156626506024,2.99145299145299,3.10077519379845,3.20284697508897,3.27868852459016,3.38461538461538,3.69230769230769,2.56410256410256,2.53164556962025,2.73972602739726,3.125,3.03030303030303,3.63636363636363,3.77358490566038,4.16666666666666,4.34782608695652,4.16666666666667,5
"Oscar Miers_SydneyTrackClassic2020","Oscar Miers","SydneyTrackClassic2020",12,6,"2.20 XXX","2.2","N",0,0.4,0.78,1.15,1.48,1.79,2.08,2.35,2.585,2.815,3.05,3.26,0.145,0.16,0.145,0.4,0.38,0.37,0.33,0.31,0.29,0.27,0.235,0.23,0.235,0.21,3.68098159509202,2.5,2.56410256410256,2.60869565217391,2.7027027027027,2.79329608938547,2.88461538461538,2.97872340425532,3.09477756286267,3.19715808170515,3.27868852459016,3.37423312883436,3.68098159509202,2.5,2.63157894736842,2.7027027027027,3.03030303030303,3.2258064516129,3.44827586206897,3.7037037037037,4.25531914893617,4.34782608695652,4.25531914893617,4.76190476190476
