dataname,Name,Competition,NumberSteps,Jump,Height cleared,Height,Cleared,Foot Plant Step 1,Foot Plant Step 2,Foot Plant Step 3,Foot Plant Step 4,Foot Plant Step 5,Foot Plant Step 6,Foot Plant Step 7,Foot Plant Step 8,Foot Plant Step 9,Foot Plant Take-Off,Contact Time 3rd last,Contact Time 2nd last,Contact Time last,Step Time Step 1,Step Time Step 2,Step Time Step 3,Step Time Step 4,Step Time Step 5,Step Time Step 6,Step Time Step 7,Step Time Step 8,Step Time Step 9,Cadencev1Avg,Cadencev1 Step 1,Cadencev1 Step 2,Cadencev1 Step 3,Cadencev1 Step 4,Cadencev1 Step 5,Cadencev1 Step 6,Cadencev1 Step 7,Cadencev1 Step 8,Cadencev1 Step 9,Cadencev2Avg,Cadencev2 Step 1,Cadencev2 Step 2,Cadencev2 Step 3,Cadencev2 Step 4,Cadencev2 Step 5,Cadencev2 Step 6,Cadencev2 Step 7,Cadencev2 Step 8,Cadencev2 Step 9
Nicola McDermott_SydneyTrackClassic2020,NM,SydneyTrackClassic2020,10,1,1.86 O,1.86,Y,0,0.64,1.1,1.57,1.97,2.37,2.68,2.99,3.28,3.46,0.14,0.16,0.18,0.64,0.46,0.47,0.4,0.4,0.31,0.31,0.29,0.18,2.89017341,1.5625,1.818181818,1.910828025,2.030456853,2.109704641,2.23880597,2.341137124,2.43902439,2.601156069,2.89017341,1.5625,2.173913043,2.127659574,2.5,2.5,3.225806452,3.225806452,3.448275862,5.555555556
Nicola McDermott_SydneyTrackClassic2020,NM,SydneyTrackClassic2020,10,2,1.90 X,1.9,N,0,0.6,1.08,1.56,1.91,2.3,2.61,2.92,3.24,3.42,0.15,0.15,0.17,0.6,0.48,0.48,0.35,0.39,0.31,0.31,0.32,0.18,2.923976608,1.666666667,1.851851852,1.923076923,2.094240838,2.173913043,2.298850575,2.397260274,2.469135802,2.631578947,2.923976608,1.666666667,2.083333333,2.083333333,2.857142857,2.564102564,3.225806452,3.225806452,3.125,5.555555556
Nicola McDermott_SydneyTrackClassic2020,NM,SydneyTrackClassic2020,10,3,1.90 XO,1.9,Y,0,0.62,1.12,1.6,2,2.38,2.7,3,3.31,3.49,0.14,0.14,0.165,0.62,0.5,0.48,0.4,0.38,0.32,0.3,0.31,0.18,2.865329513,1.612903226,1.785714286,1.875,2,2.100840336,2.222222222,2.333333333,2.416918429,2.578796562,2.865329513,1.612903226,2,2.083333333,2.5,2.631578947,3.125,3.333333333,3.225806452,5.555555556
Nicola McDermott_SydneyTrackClassic2020,NM,SydneyTrackClassic2020,10,4,1.94 O,1.94,Y,0,0.58,1.065,1.53,1.91,2.3,2.63,2.91,3.22,3.39,0.14,0.14,0.18,0.58,0.485,0.465,0.38,0.39,0.33,0.28,0.31,0.17,2.949852507,1.724137931,1.877934272,1.960784314,2.094240838,2.173913043,2.281368821,2.405498282,2.48447205,2.654867257,2.949852507,1.724137931,2.06185567,2.150537634,2.631578947,2.564102564,3.03030303,3.571428571,3.225806452,5.882352941
Nicola McDermott_SydneyTrackClassic2020,NM,SydneyTrackClassic2020,10,5,1.97 X,1.97,N,0,0.59,1.08,1.52,1.89,2.25,2.58,2.88,3.18,3.38,0.14,0.14,0.165,0.59,0.49,0.44,0.37,0.36,0.33,0.3,0.3,0.2,2.958579882,1.694915254,1.851851852,1.973684211,2.116402116,2.222222222,2.325581395,2.430555556,2.51572327,2.662721893,2.958579882,1.694915254,2.040816327,2.272727273,2.702702703,2.777777778,3.03030303,3.333333333,3.333333333,5
Nicola McDermott_SydneyTrackClassic2020,NM,SydneyTrackClassic2020,10,6,1.97 XX,1.97,N,0,0.57,1.04,1.5,1.87,2.23,2.56,2.86,3.18,3.36,0.15,0.13,0.175,0.57,0.47,0.46,0.37,0.36,0.33,0.3,0.32,0.18,2.976190476,1.754385965,1.923076923,2,2.139037433,2.242152466,2.34375,2.447552448,2.51572327,2.678571429,2.976190476,1.754385965,2.127659574,2.173913043,2.702702703,2.777777778,3.03030303,3.333333333,3.125,5.555555556
Nicola McDermott_SydneyTrackClassic2020,NM,SydneyTrackClassic2020,10,7,1.97 XXX,1.97,N,0,0.62,1.07,1.55,1.92,2.29,2.63,2.93,3.27,3.43,0.14,0.13,0.19,0.62,0.45,0.48,0.37,0.37,0.34,0.3,0.34,0.16,2.915451895,1.612903226,1.869158879,1.935483871,2.083333333,2.183406114,2.281368821,2.389078498,2.44648318,2.623906706,2.915451895,1.612903226,2.222222222,2.083333333,2.702702703,2.702702703,2.941176471,3.333333333,2.941176471,6.25
