"dataname","Name","Competition","NumberSteps","Jump","Height cleared","Height","Cleared","Foot Plant Step 1","Foot Plant Step 2","Foot Plant Step 3","Foot Plant Step 4","Foot Plant Step 5","Foot Plant Step 6","Foot Plant Step 7","Foot Plant Step 8","Foot Plant Step 9","Foot Plant Step 10","Foot Plant Take-Off","Contact Time 3rd last","Contact Time 2nd last","Contact Time last","Step Time Step 1","Step Time Step 2","Step Time Step 3","Step Time Step 4","Step Time Step 5","Step Time Step 6","Step Time Step 7","Step Time Step 8","Step Time Step 9","Step Time Step 10","Cadencev1Avg","Cadencev1 Step 1","Cadencev1 Step 2","Cadencev1 Step 3","Cadencev1 Step 4","Cadencev1 Step 5","Cadencev1 Step 6","Cadencev1 Step 7","Cadencev1 Step 8","Cadencev1 Step 9","Cadencev1 Step 10","Cadencev2Avg","Cadencev2 Step 1","Cadencev2 Step 2","Cadencev2 Step 3","Cadencev2 Step 4","Cadencev2 Step 5","Cadencev2 Step 6","Cadencev2 Step 7","Cadencev2 Step 8","Cadencev2 Step 9","Cadencev2 Step 10"
"Joel Baden_SydneyTrackClassic2020","Joel Baden","SydneyTrackClassic2020",11,1,"2.12 O","2.12","Y",0,0.34,0.775,1.185,1.57,1.97,2.35,2.745,2.99,3.28,3.48,0.155,0.15,0.155,0.34,0.435,0.41,0.385,0.4,0.38,0.395,0.245,0.29,0.2,3.16091954022989,2.94117647058824,2.58064516129032,2.53164556962025,2.54777070063694,2.53807106598985,2.5531914893617,2.55009107468124,2.67558528428094,2.74390243902439,2.8735632183908,3.16091954022989,2.94117647058824,2.29885057471264,2.4390243902439,2.5974025974026,2.5,2.63157894736842,2.53164556962025,4.08163265306122,3.44827586206897,5
"Joel Baden_SydneyTrackClassic2020","Joel Baden","SydneyTrackClassic2020",11,2,"2.16 O","2.16","Y",0,0.34,0.77,1.18,1.58,1.98,2.37,2.79,3.02,3.3,3.5,0.15,0.145,0.15,0.34,0.43,0.41,0.4,0.4,0.39,0.42,0.23,0.28,0.2,3.14285714285714,2.94117647058824,2.5974025974026,2.54237288135593,2.53164556962025,2.52525252525253,2.53164556962025,2.5089605734767,2.64900662251656,2.72727272727273,2.85714285714286,3.14285714285714,2.94117647058824,2.32558139534884,2.4390243902439,2.5,2.5,2.56410256410256,2.38095238095238,4.34782608695652,3.57142857142857,5
"Joel Baden_SydneyTrackClassic2020","Joel Baden","SydneyTrackClassic2020",11,3,"2.20 X","2.2","N",0,0.34,0.785,1.19,1.59,1.97,2.39,2.78,3.01,3.305,3.485,0.15,0.14,0.155,0.34,0.445,0.405,0.4,0.38,0.42,0.39,0.23,0.295,0.18,3.15638450502152,2.94117647058824,2.54777070063694,2.52100840336134,2.51572327044025,2.53807106598985,2.51046025104602,2.51798561151079,2.6578073089701,2.7231467473525,2.86944045911047,3.15638450502152,2.94117647058824,2.24719101123596,2.46913580246914,2.5,2.63157894736842,2.38095238095238,2.56410256410257,4.34782608695652,3.38983050847457,5.55555555555556
"Joel Baden_SydneyTrackClassic2020","Joel Baden","SydneyTrackClassic2020",11,4,"2.20 XX","2.2","N",0,0.34,0.77,1.19,1.59,1.98,2.36,2.755,2.99,3.25,3.47,0.15,0.16,0.16,0.34,0.43,0.42,0.4,0.39,0.38,0.395,0.235,0.26,0.22,3.1700288184438,2.94117647058824,2.5974025974026,2.52100840336134,2.51572327044025,2.52525252525253,2.54237288135593,2.54083484573503,2.67558528428094,2.76923076923077,2.88184438040346,3.1700288184438,2.94117647058824,2.32558139534884,2.38095238095238,2.5,2.56410256410256,2.63157894736842,2.53164556962025,4.25531914893616,3.84615384615385,4.54545454545454
"Joel Baden_SydneyTrackClassic2020","Joel Baden","SydneyTrackClassic2020",11,5,"2.20 XXX","2.2","N",0,0.33,0.78,1.185,1.59,1.99,2.39,2.77,3.01,3.28,3.47,0.14,0.14,0.16,0.33,0.45,0.405,0.405,0.4,0.4,0.38,0.24,0.27,0.19,3.1700288184438,3.03030303030303,2.56410256410256,2.53164556962025,2.51572327044025,2.51256281407035,2.51046025104602,2.52707581227437,2.6578073089701,2.74390243902439,2.88184438040346,3.1700288184438,3.03030303030303,2.22222222222222,2.46913580246914,2.46913580246914,2.5,2.5,2.63157894736842,4.16666666666667,3.7037037037037,5.26315789473683
